,date,exercise_date,close,contract_type,exercise_price,maturity
378,2015-02-13,2015-04-22,0.1533,call,2.3,0.1863013698630137
2419,2015-02-13,2015-09-23,0.0873,put,2.2,0.6082191780821918
1474,2015-02-13,2015-06-24,0.1074,put,2.35,0.3589041095890411
844,2015-02-13,2015-06-24,0.2231,call,2.25,0.3589041095890411
2725,2015-02-13,2015-09-23,0.1205,put,2.3,0.6082191780821918
519,2015-02-13,2015-04-22,0.0265,put,2.2,0.1863013698630137
3859,2015-02-13,2015-04-22,0.0576,call,2.5,0.1863013698630137
3237,2015-02-13,2015-04-22,0.075,call,2.45,0.1863013698630137
2113,2015-02-13,2015-09-23,0.2199,call,2.35,0.6082191780821918
3283,2015-02-13,2015-04-22,0.1275,put,2.45,0.1863013698630137
1024,2015-02-13,2015-06-24,0.1652,call,2.35,0.3589041095890411
1564,2015-02-13,2015-06-24,0.132,put,2.4,0.3589041095890411
3659,2015-02-13,2015-09-23,0.1964,put,2.45,0.6082191780821918
1960,2015-02-13,2015-09-23,0.2561,call,2.3,0.6082191780821918
4271,2015-02-13,2015-09-23,0.2292,put,2.5,0.6082191780821918
4,2015-02-13,2015-03-25,0.209,call,2.2,0.1095890410958904
4034,2015-02-13,2015-06-24,0.188,put,2.5,0.3589041095890411
660,2015-02-13,2015-04-22,0.0726,put,2.35,0.1863013698630137
88,2015-02-13,2015-03-25,0.0925,call,2.35,0.1095890410958904
1294,2015-02-13,2015-06-24,0.0719,put,2.25,0.3589041095890411
1204,2015-02-13,2015-06-24,0.0539,put,2.2,0.3589041095890411
3507,2015-02-13,2015-09-23,0.1735,call,2.45,0.6082191780821918
3903,2015-02-13,2015-04-22,0.1554,put,2.5,0.1863013698630137
2572,2015-02-13,2015-09-23,0.1032,put,2.25,0.6082191780821918
228,2015-02-13,2015-03-25,0.0517,put,2.35,0.1095890410958904
284,2015-02-13,2015-04-22,0.225,call,2.2,0.1863013698630137
754,2015-02-13,2015-06-24,0.2592,call,2.2,0.3589041095890411
